run,start,last_iter_end,minutes,pi_recorded_cost_usd
opus-en-1,2026-09-24 17:47:32,2026-09-24 17:51:24,3.87,0.743
opus-en-2,2026-09-24 17:56:00,2026-09-24 17:59:05,3.08,0.814
opus-en-3,2026-09-24 18:04:59,2026-09-24 18:09:55,4.93,0.868
sol-en-1,2026-09-24 17:51:35,2026-09-24 17:55:48,4.22,0.263
sol-en-2,2026-09-24 17:59:16,2026-09-24 18:04:49,5.55,0.300
sol-en-3,2026-09-24 18:10:06,2026-09-24 18:14:27,4.35,0.271
