run,try,result
sonnet5-en-1,1,13,154
sonnet5-en-1,2,13,154
sonnet5-ko-1,1,13,154
sonnet5-ko-1,2,13,154
sonnet5-en-2,1,13,154
sonnet5-en-2,2,13,154
sonnet5-ko-2,1,13,154
sonnet5-ko-2,2,13,154
sonnet5-en-3,1,13,154
sonnet5-en-3,2,13,154
sonnet5-ko-3,1,13,154
sonnet5-ko-3,2,13,154
