run,start,last_iter_end,minutes,pi_recorded_cost_usd
kimi-en-1,2026-09-24 13:55:15,2026-09-24 14:04:47,9.5,0.468
kimi-en-2,2026-09-24 14:42:02,2026-09-24 14:51:56,9.9,0.543
kimi-en-3,2026-09-24 15:10:00,2026-09-24 15:19:52,9.9,0.538
qwen-en-1,2026-09-24 14:05:02,2026-09-24 14:34:01,29.0,0.000
qwen-en-2,2026-09-24 14:52:08,2026-09-24 15:07:43,15.6,0.000
qwen-en-3,2026-09-24 15:20:04,2026-09-24 15:38:45,18.7,0.000
flash-en-1,2026-09-24 14:34:12,2026-09-24 14:41:52,7.7,0.080
flash-en-2,2026-09-24 15:07:53,2026-09-24 15:09:50,1.9,0.037
flash-en-3,2026-09-24 15:38:59,2026-09-24 15:42:14,3.2,0.059
