run,files,assistant_msgs,usage_entries,dup_skipped,missing_usage,input,output,cacheRead,cacheWrite,reasoning,proxy
kimi-en-1,1,30,0,0,0,4454,17429,644864,34560,3946,56443
kimi-en-2,1,41,0,0,0,5013,18742,823552,37888,5517,61643
kimi-en-3,1,38,0,0,0,5039,18667,810240,38144,5052,61850
qwen-en-1,5,136,0,0,0,156275,50441,3629056,0,15210,206716
qwen-en-2,1,42,0,0,0,81281,34147,1532160,0,13878,115428
qwen-en-3,1,41,0,0,0,57228,29269,1202688,0,12092,86497
flash-en-1,1,52,0,0,0,31554,46312,2486528,0,27600,77866
flash-en-2,1,25,0,0,0,36313,17583,885632,0,2962,53896
flash-en-3,1,32,0,0,0,36428,33005,1443200,0,15896,69433
