run,sessions,missing,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens
sol-en-1,1,0,1460178,1412352,10764,1833,1470942
luna-en-1,1,0,4018493,3903744,21483,4652,4039976
sol-en-2,1,0,1067955,1007616,11005,1742,1078960
luna-en-2,1,0,1532724,1455104,14123,2704,1546847
sol-en-3,1,0,1080252,1035520,10438,2151,1090690
luna-en-3,1,0,1116331,1059328,13411,3010,1129742
