run,iter1_start,iter1_end,sec,commits
sol-en-1,2026-09-24 08:47:31,2026-09-24 08:52:43,312,3
luna-en-1,2026-09-24 08:52:54,2026-09-24 09:02:52,598,8
sol-en-2,2026-09-24 09:03:03,2026-09-24 09:07:58,295,3
luna-en-2,2026-09-24 09:18:44,2026-09-24 09:25:22,398,5
sol-en-3,2026-09-24 09:25:32,2026-09-24 09:30:17,285,3
luna-en-3,2026-09-24 09:30:28,2026-09-24 09:35:50,322,4
